date,price,size
1913-01-01,0.2,no size
1922-01-01,0.32,lb
1931-01-01,0.34,lb
1932-01-01,0.25,lb
1934-01-01,0.27,lb
1936-01-01,0.1,pkg
1948-01-01,0.15,4.5 oz
1949-01-01,0.14,4.25 oz
1950-01-01,0.34,11 oz
1952-01-01,0.35,11 oz
1953-01-01,0.23,7.25 oz
1954-01-01,0.21,7.25 oz
1955-01-01,0.39,11.75 oz
1956-01-01,0.33,11.75 oz
1957-01-01,0.35,12.75 oz
1958-01-01,0.33,11.75 oz
1959-01-01,0.37,11.75 oz
1960-01-01,0.45,lb
1961-01-01,0.45,lb
1962-01-01,0.49,lb
1963-01-01,0.45,lb
1964-01-01,0.39,lb
1965-01-01,0.43,lb
1966-01-01,0.43,lb
1967-01-01,0.49,lb
1968-01-01,0.45,lb
1969-01-01,0.51,lb
1970-01-01,0.45,15 oz
1971-01-01,0.55,15 oz
1972-01-01,0.49,lb
1973-01-01,0.49,15 oz
1974-01-01,0.55,15 oz
1975-01-01,0.89,15 oz
1976-01-01,0.99,19 oz
1977-01-01,0.89,15 oz
1978-01-01,0.79, 15 oz
1979-01-01,1.05,15 oz
1980-01-01,0.99,15 oz
1981-01-01,1.69,19 oz
1982-01-01,1.65,19 oz
1983-01-01,1.85,19 oz
1984-01-01,1.79,20 oz
1985-01-01,2.17,19 oz
1986-01-01,1.69,20 oz
1987-01-01,1.99,20 oz
1988-01-01,2.49,20 oz
1989-01-01,2.49,20 oz
1990-01-01,2.69,lb
1991-01-01,2.39,lb
1992-01-01,1.99,oz
1993-01-01,1.19,5.8 oz
1994-01-01,2.49,20 oz
1995-01-01,1.09,4.8 oz
2004-01-01,2.99,lb
2008-01-01,4.29,18 oz
2012-01-01,4.59,15.5 oz
2013-01-01,4.59,14.3 oz
2014-01-01,4.49,14.3 oz 
2021-09-01,3.67, 20 oz